alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,extra_pts,task_id,iter
0.397607091469421,0.2727751941000693,0.14679704246953815,0.4004402436444893,0.1,1,1,1
0.37996759057769647,0.2802646624781415,0.14840448824178495,0.37216670581733574,0.1,1,1,2
0.36443454893914584,0.308422794615337,0.13794331316663727,0.3356034017043842,0.1,1,1,3
0.3654802093270881,0.32845767590213276,0.1339683017650833,0.3819181646558577,0.1,1,1,4
0.39829239012382905,0.2622606289110097,0.1501606242109751,0.3196769923688566,0.1,1,1,5
0.7398607010848479,0.5458844390671493,0.27971196460764064,1.5650991277841209,0.30000000000000004,1,2,1
0.4974324038015728,0.3700128331395486,0.1957027959945288,1.0715655688069117,0.30000000000000004,1,2,2
0.47158381944062816,0.3759733835056266,0.2117790686818814,1.0545903867620716,0.30000000000000004,1,2,3
0.7001783339116955,0.4675234016771296,0.21879028497253425,1.6258920337396263,0.30000000000000004,1,2,4
0.4921084965636234,0.3872201101672654,0.27849802809008106,1.4302099042283756,0.30000000000000004,1,2,5
0.7225169589416703,0.4649779945183288,1.0228083827833367,0.7294331905605477,0.5,1,3,1
0.6536574726476304,0.30322662111441806,0.5942326819772347,0.6042584476806522,0.5,1,3,2
0.6886753496965751,0.3221832317579358,0.6603734992620512,0.6443220026256874,0.5,1,3,3
0.710880287815812,0.3518484341701397,0.7688946071533375,0.7025543871401593,0.5,1,3,4
0.6695944687986362,0.2875809377408642,0.607195114353485,0.5180899995703934,0.5,1,3,5
1.0879080384531068,0.6677715461825515,1.4617123958996632,1.1666790759780372,0.7000000000000001,1,4,1
1.1062658080455792,0.5275320219773781,0.7189764841776619,2.10425903667464,0.7000000000000001,1,4,2
1.0091286887402815,0.5864687564007705,1.1691546032355282,1.3859306076606377,0.7000000000000001,1,4,3
1.0123545079762664,0.510334942889602,1.138614902084932,0.9926966784674914,0.7000000000000001,1,4,4
1.0483160385999022,0.6761575871118475,1.3376476554781205,1.5872581647506008,0.7000000000000001,1,4,5
1.6416868778180345,0.6655483233721563,0.5623455454324009,4.088181132189205,0.9,1,5,1
1.3939066299278704,0.7287482666483208,1.3209577144619136,2.090368618095189,0.9,1,5,2
1.5348209535152746,0.6536024230922572,0.9774069443078414,4.088659191629508,0.9,1,5,3
1.4018709386234398,0.6880208830091877,1.199638836768168,2.1565593690136513,0.9,1,5,4
1.371662683098178,0.6733679142108704,1.5979164703830924,4.322012783173548,0.9,1,5,5
2.3861445911943444,1.0147810278364455,1.7237016849374462,5.276469297593481,1.1,1,6,1
1.4547581244633998,0.7878433590611161,1.6366199147014016,3.488584116468244,1.1,1,6,2
2.280181090154235,0.9959034691367458,1.403005004701339,5.482639917416923,1.1,1,6,3
2.561829762731673,2.729813375291964,3.578002706984513,5.729601795803594,1.1,1,6,4
2.3248214028316982,0.9366764361453384,1.3809327072795583,5.050519427448134,1.1,1,6,5
4.614432792271971,0.9891683360170832,1.983600236896066,6.47307553634423,1.3000000000000005,1,7,1
1.876131381613401,1.941729523840142,2.6844856126021033,3.2989462793030615,1.3000000000000005,1,7,2
2.206215697644353,0.8584250335305637,1.4131601417237942,5.104514402978736,1.3000000000000005,1,7,3
3.2884113856567,1.0508292249455229,2.219502923014526,5.269950402380041,1.3000000000000005,1,7,4
1.8104346568928,0.8458988619143339,1.7297809343742536,3.938379691197499,1.3000000000000005,1,7,5
1.5058130733301305,1.1749235777272922,1.0549190193725877,1.2288494661713705,1.5000000000000002,1,8,1
1.4892519124350976,0.9744689504679532,1.1248068612113518,1.188288894283015,1.5000000000000002,1,8,2
1.504892441453922,0.7287413757577631,1.560201986676984,1.2257444283623444,1.5000000000000002,1,8,3
1.4726157053414115,0.8946133094647398,1.250072539438437,1.1689431846554426,1.5000000000000002,1,8,4
1.5197942489897374,1.181666526720389,0.9009258417600002,1.2658885114069909,1.5000000000000002,1,8,5
1.6837416331681507,1.0321851749152555,2.7928228537629356,1.9641363941801495,1.7000000000000002,1,9,1
4.489359850759457,1.9999052739041947,4.000228432978254,1.6903095102328178,1.7000000000000002,1,9,2
3.4513920899697244,2.000420436546005,4.000056367122395,1.7112765960649905,1.7000000000000002,1,9,3
1.664864427466409,0.798137780433465,1.9890031875376155,1.4694134542024424,1.7000000000000002,1,9,4
1.9614751560131585,2.0189532628237203,1.7105212673386752,1.7146603863949943,1.7000000000000002,1,9,5
0.7786604639080629,2.0751135059041266,1.9520178333169376,1.9173847030338185,1.9,1,10,1
