alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,peak_rmse,duration_rmse,sd,l0,task_id,iter
0.01326463714233439,0.02715236182613962,0.08469484734760949,0.09400413928411902,0.08031092377317274,0.31483456079816446,0.1,1,1,1
0.0351692773114388,0.03170033152923712,0.0578793696057598,0.09675440228085393,0.08636670041219241,0.21748611342101715,0.1,1,1,2
0.01799277085878831,0.04755531262341563,0.07228726755723093,0.09674914914287389,0.06058216351195106,0.16851491163501012,0.1,1,1,3
0.03368437418983392,0.03173611313253682,0.05471708762811725,0.10256877204232288,0.08068049696894879,0.21626168200124424,0.1,1,1,4
0.0271253317443509,0.04713890936197278,0.06661941492416497,0.09625963442691228,0.0640761607196579,0.15450151164740947,0.1,1,1,5
0.03497448504073757,0.06796195040961366,0.07969757809869553,0.11515983498283408,0.1131975088228988,0.12126244568787203,0.30000000000000004,1,2,1
0.05161808885853365,0.07220381217446654,0.07602207694508076,0.1428529138542077,0.09676903815204084,0.13958606290647205,0.30000000000000004,1,2,2
0.05014990468701601,0.04071429982912668,0.06729809295411844,0.10571597773333584,0.08315115006372432,0.2180122193919063,0.30000000000000004,1,2,3
0.00184094648088162,0.03003064461348537,0.07450179911629841,0.09499121540215556,0.06941083055852675,0.2703487728503026,0.30000000000000004,1,2,4
0.03268249147750136,0.06360390460543679,0.09466520429814013,0.12175590769762865,0.08823204102376388,0.20169976486146432,0.30000000000000004,1,2,5
0.0166823809980689,0.0396998072458706,0.09483739213824122,0.10182184400110789,0.04838935662077487,0.28938165064443716,0.5,1,3,1
0.10550221828199856,0.02511666986550765,0.02637655884528741,0.09318231061436816,0.1390740409479301,0.14912598390182716,0.5,1,3,2
0.04294323360853366,0.0634640444085939,0.07174907870081597,0.11179421340270168,0.10460324123945156,0.11443305408030018,0.5,1,3,3
0.0259783668114007,0.02435491284653191,0.06311153108710943,0.1110037682708882,0.13182721891244353,0.302713226094171,0.5,1,3,4
0.04970713837858555,0.03806839939288983,0.03679709651524454,0.09348770435781294,0.07961280232309459,0.11237871918903744,0.5,1,3,5
0.00664982362815488,0.0460354808336112,0.07007054141382285,0.10926513264040098,0.04502069778748517,0.19297883985272368,0.7000000000000001,1,4,1
0.039900379577988,0.05262545196649687,0.09445387618115653,0.09965853666426731,0.0801339281157056,0.21750239100844324,0.7000000000000001,1,4,2
0.06097382430077536,0.02286671760352145,0.02433285380010506,0.1363981841737543,0.22199989098403028,0.2428469868450958,0.7000000000000001,1,4,3
0.08964743798459031,0.02692077799662239,0.03869626886941013,0.09412183306270744,0.19396842566530265,0.11483236692804907,0.7000000000000001,1,4,4
0.03293614637595096,0.05175774188470025,0.0788653501810621,0.11271578319199324,0.06462074516151958,0.1988369380235893,0.7000000000000001,1,4,5
0.03686987153056163,0.03771352366346554,0.06156220505068448,0.10144461284712748,0.06744743398546107,0.20229867568630455,0.9,1,5,1
0.01979566394459445,0.03394008157464862,0.09260217335719204,0.1003070546814412,0.05958687556960096,0.3104301064164407,0.9,1,5,2
0.03001044221587065,0.04373199122691038,0.0857443320879328,0.10734774473616077,0.06364579936708097,0.25535669208795303,0.9,1,5,3
0.02312635176425827,0.05699839105381029,0.08113733043387664,0.10959262314231456,0.07166144954743674,0.16595346170426792,0.9,1,5,4
6.165774473540953e-5,0.03774469525507257,0.083135933708687,0.08933857210978507,0.05144085809564912,0.2484882518934889,0.9,1,5,5
0.04656360756808676,0.04956187376124593,0.08377434858841265,0.14092189480445494,0.07700739356382925,0.2820303598033001,1.1,1,6,1
0.00267240571720696,0.04968926281708858,0.08183844969754958,0.09224466314142968,0.07161520048479542,0.1756686277370038,1.1,1,6,2
0.11518862961227296,0.02722142413573458,0.04379799517680494,0.0897862762478874,0.10345382947271003,0.1906222064120204,1.1,1,6,3
0.12316207972209496,0.02485468249396816,0.03590509101651393,0.09727963715864588,0.21228994580625576,0.14188822067628773,1.1,1,6,4
0.01444086809956146,0.02652823638992535,0.06840719781679674,0.10668033822017846,0.10808716824251496,0.29587137868503777,1.1,1,6,5
0.07166256626973508,0.05845128643054526,0.06515884001882682,0.08780097303868001,0.1229059376276126,0.08124889369404653,1.3000000000000005,1,7,1
0.07387499393355546,0.04631443986781077,0.05858433152637803,0.12302209606256416,0.09899091548722928,0.19603116458989275,1.3000000000000005,1,7,2
0.06008986841990472,0.07971712286323565,0.04668441518195875,0.13447105043789387,0.14111665121208733,0.09108616494682084,1.3000000000000005,1,7,3
0.03190963841922884,0.03990792596830622,0.04839174030246859,0.11220270750144087,0.07177790969708814,0.16857310046884252,1.3000000000000005,1,7,4
0.00409608994917055,0.03605169671981742,0.07654217856363456,0.10363636328371588,0.05726957138872955,0.25696354218689055,1.3000000000000005,1,7,5
