est_alpha,est_beta1,est_beta2,est_psi,true_alpha,true_beta1,true_beta2,true_psi,alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
3.5180377601340846,2.1383882796835234,-4.122640234066803,4.447041335395666,3,2,-4,5,0.5242211065251023,0.14321175155105334,0.13476272083466456,0.5558469205630012,0.1,3,1,1
3.628076494194329,2.0360900578542993,-4.108752233632864,4.478818098783311,3,2,-4,5,0.6321923360406846,0.03703112424550298,0.10917823090652697,0.5235076657968551,0.1,3,1,2
3.474284514284518,2.1244006618968445,-4.06243122668266,4.427929852860389,3,2,-4,5,0.48133390530883546,0.13063882716140832,0.08546994595693352,0.5752304010248106,0.1,3,1,3
3.452005385905845,2.1667462576970835,-4.110440118396567,4.406452491067531,3,2,-4,5,0.4599412415170181,0.17210403406221783,0.12794437926334434,0.5970994965523764,0.1,3,1,4
3.467197105379241,2.125240344725324,-4.120651262120111,4.488738288172385,3,2,-4,5,0.47418708412087096,0.1308532657010899,0.1335322867149119,0.514446441151393,0.1,3,1,5
2.98886367927762,2.029322503189985,-4.055513705649283,4.900372152939448,3,2,-4,5,0.01780896545566395,0.03097805867349209,0.0564517615633445,0.10055663366187502,0.30000000000000004,3,2,1
2.9885433474925978,2.0638465461465314,-4.085529301613926,4.885809568855533,3,2,-4,5,0.01799157777090871,0.06456033387412076,0.08601168756748316,0.11492679337975906,0.30000000000000004,3,2,2
2.9986275365473434,2.04545223465388,-4.072169117031868,4.916500118467496,3,2,-4,5,0.00465427780604244,0.04598175258642246,0.07259257802892144,0.08408266873246692,0.30000000000000004,3,2,3
2.998341585496658,2.037403059532293,-4.076164162663277,4.888647183086908,3,2,-4,5,0.00478111127575973,0.03809172703304849,0.07647838345766064,0.11181216428638203,0.30000000000000004,3,2,4
2.9405363328221537,2.094796804620249,-4.125023078885491,4.8106585640589286,3,2,-4,5,0.07338211059982326,0.09624048412215724,0.1277124776602331,0.1915627266074429,0.30000000000000004,3,2,5
2.9808010531478892,2.056873724524958,-4.078204154180924,4.8890694918045705,3,2,-4,5,0.02489286920245782,0.05761583966747499,0.07916213833989535,0.11206400490688312,0.5,3,3,1
2.9984199735172967,2.055962147477264,-4.074619638707932,4.894341336968205,3,2,-4,5,0.00575612675398161,0.0563739537837739,0.07509821048016811,0.10631746144034616,0.5,3,3,2
2.9703636654305905,2.0368611377029104,-4.10219068299094,4.89196333293925,3,2,-4,5,0.03768506338645431,0.03846055059182682,0.10358674504445292,0.109905264468564,0.5,3,3,3
3.000462442141828,2.0429560506774966,-4.091796502893697,4.903010264980506,3,2,-4,5,0.00195647140114719,0.04355337172982816,0.0921124566276287,0.09746244003395092,0.5,3,3,4
2.8434531695284857,2.0437874164798036,-4.027763253985217,4.959799027019518,3,2,-4,5,0.1718874593952574,0.05027229881269075,0.04506257734595774,0.05388942586409542,0.5,3,3,5
