alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
0.00110303790245594,0.06204692663675925,0.09463753865109556,0.10970914177223248,0.1,1,1,1
0.0368401975387623,0.05036852693736268,0.07120133703261888,0.14466338089403347,0.1,1,1,2
0.0402248910289909,0.01940839834775571,0.02007937164121295,0.09738944940859504,0.1,1,1,3
0.01453138323654911,0.04848667932769899,0.08290686472815716,0.1076908953962314,0.1,1,1,4
0.00230604131658741,0.04912979426338956,0.0784820312065897,0.1080971350175949,0.1,1,1,5
0.04029461996035897,0.02786151527477784,0.07013997502211271,0.09247959130048752,0.30000000000000004,1,2,1
0.02986392402465465,0.05738439392861087,0.06302265517765607,0.13424112004132627,0.30000000000000004,1,2,2
0.01904559838715681,0.03963671709176792,0.08026954211207649,0.08968307073162794,0.30000000000000004,1,2,3
0.0054228473740098,0.04669151698148997,0.0899786512282459,0.0829870995210183,0.30000000000000004,1,2,4
0.02421433671836849,0.03498126333521843,0.0967987787720492,0.1056188876815367,0.30000000000000004,1,2,5
0.03649072618467356,0.08487821325559473,0.08710603159482568,0.16814110711843266,0.5,1,3,1
0.01431551092286335,0.05272172404795853,0.1007991912734863,0.13084303840924336,0.5,1,3,2
0.01487388723433524,0.04432724415731191,0.08463160313079685,0.11420223050890592,0.5,1,3,3
0.01953146828391101,0.05439095205330056,0.07805855017767252,0.09858894718202038,0.5,1,3,4
0.02531666739932734,0.03512998763121901,0.05871425910129801,0.09949557054981088,0.5,1,3,5
0.00624188346350981,0.03788467882715389,0.07859679808888352,0.09064198409400052,0.7000000000000001,1,4,1
0.00455126432198381,0.03550273414291498,0.07981768867571007,0.11456693308868748,0.7000000000000001,1,4,2
0.00961958983817198,0.02812763560117059,0.07819055609927521,0.10398763354571045,0.7000000000000001,1,4,3
0.00917288521955994,0.05506274922427,0.0980821754078881,0.1039293523505862,0.7000000000000001,1,4,4
0.00306736137906024,0.0514293596113164,0.0860210891768959,0.10859058872138996,0.7000000000000001,1,4,5
0.05166611235851214,0.0287146967273477,0.04399184968211688,0.08311708924312422,0.9,1,5,1
0.0464937708446397,0.0234434984557075,0.02281554553248107,0.06847245646290452,0.9,1,5,2
0.01395232652504069,0.03732018011983113,0.08175038290150169,0.10771062212939216,0.9,1,5,3
0.01141179248868133,0.03205106031018791,0.07669352205501874,0.10816450604875712,0.9,1,5,4
0.04285278986482233,0.0593131429544271,0.05917086884856538,0.17174577899305016,0.9,1,5,5
0.0803970145990243,0.05130396039985547,0.04046987938383367,0.18368713256408328,1.1,1,6,1
0.00779163108067093,0.04244138170007645,0.08542236415602159,0.08915351025095077,1.1,1,6,2
0.03109917996992548,0.04654146439297483,0.04044296238371742,0.09117629691761868,1.1,1,6,3
0.00579645593925483,0.03980332541643448,0.08328627434504422,0.09683282881293392,1.1,1,6,4
0.00950578784569329,0.03983913816232849,0.08554253457315457,0.11825404493807512,1.1,1,6,5
0.02018606232750276,0.05238177785852943,0.07467046188864816,0.11154182531839346,1.3000000000000005,1,7,1
0.032793075798268,0.04552018669791052,0.03507629372187235,0.08570443138946257,1.3000000000000005,1,7,2
