index_value,offset
3,14.392142557115099
7,11.37324211159385
8,10.727419598720758
10,11.118959622204015
11,9.678231356629402
12,11.571438826533646
13,14.436953464484608
16,13.352868851635293
17,10.094487296139418
18,11.645224964834645
19,13.234718477113093
20,11.289680530248654
22,10.787153961495738
23,12.530518280946287
24,13.484310301930494
25,11.602097702008965
28,13.351341664239726
30,10.270320645938035
31,13.709058032714239
33,11.382687611497605
34,14.888817732433871
35,13.853754510583308
36,14.154911380934736
37,13.098805182444304
38,15.246004197513214
39,15.42736803047767
42,10.022375247125373
43,11.345534070785595
44,15.124507966890445
45,12.12489634779511
46,13.688064746882999
47,10.79750448124663
50,14.13806625188259
51,12.912536727374059
52,12.917694336668417
53,11.894086180344948
56,12.505869855927
58,12.33553157510856
60,11.309555441700198
61,11.22519008277212
63,13.921075580983997
64,12.971169348691351
66,12.189801374027525
69,13.888141218411084
71,12.518993280167642
72,10.610108489581872
75,13.80625495006065
76,11.342986060556752
78,12.378845944163208
81,15.767780736221273
83,11.33780068112714
87,11.090173125461884
88,16.14735840654132
90,12.43465219393471
91,10.442476399113067
94,11.12739846197797
95,10.145508929626903
96,10.458957490937559
100,11.939758371212946
101,14.105505148189646
102,10.553932030972396
103,14.059388435841306
104,13.074121620270246
107,11.521798242506259
108,16.931243824739536
110,13.801373825656695
111,13.167549463297986
113,10.352249421950512
114,12.80188886189076
117,11.918512773401337
118,10.9538277041684
119,15.605826260715704
120,11.984741404095976
122,11.397302763128293
123,13.15576947404481
126,11.262532555148269
127,12.555895944681602
129,11.734547601906788
131,12.740830557446406
132,12.154705919734916
136,11.85636844025708
137,11.164559404095547
138,13.174714637882072
140,14.761624454708215
141,10.40706124922934
142,12.72694945929269
143,13.70946517505245
146,11.879778595750857
