index_value,offset
1,-0.28628641612866484
2,-0.28196946504921566
4,-0.2682713326634928
5,-0.28526289934753946
6,-0.2850489639431336
9,-0.28000169749829223
14,-0.2947551433892908
15,-0.29218872123992023
21,-0.2735327657108598
26,-0.2867923638689924
27,-0.28140822162344964
29,-0.28158023662536946
32,-0.2779248373943468
40,-0.281029816645619
41,-0.279679109552766
48,-0.2915122535779807
49,-0.2843857475283684
54,-0.2788958927403971
55,-0.28278304473820387
57,-0.2858177218624923
59,-0.2904332947665312
62,-0.2884932044363029
65,-0.27743483171929717
67,-0.28659122546725085
68,-0.28402125661943967
70,-0.28098084005191587
73,-0.2822815347961622
74,-0.2801875235320724
77,-0.28318036561680265
79,-0.295041857823725
80,-0.29639387469217304
82,-0.2848020476054368
84,-0.28857050633097026
85,-0.28804307083513186
86,-0.29011788899932406
89,-0.28490137628307843
92,-0.2878249922541934
93,-0.2903547863031675
97,-0.2865991072177043
98,-0.2882807406819354
99,-0.2914027399780741
105,-0.28011638477253964
106,-0.2843538531748663
109,-0.2861794814913587
112,-0.2829850255404943
115,-0.28729328802505677
116,-0.28601017659193895
121,-0.2871423918246928
124,-0.2828947254196209
125,-0.28640545822297314
128,-0.28335134235902537
130,-0.2812895933630019
133,-0.27937151755529915
134,-0.2820958129819772
135,-0.2848896756092825
139,-0.2934996044498499
144,-0.28772252238813417
145,-0.2867923145078968
