index_value,offset
1,-1.6220513582800151
2,-0.3820631436013228
3,-0.8287307067467062
4,0.18757569707309535
5,-0.9800802850816019
6,-0.8258945290861156
7,0.2698666420702534
8,-2.0063511474146094
9,-0.6388840281754123
10,-0.07464941035184071
11,-0.5776234345475664
12,0.09972969141622855
13,0.2510887037047835
14,-0.37504188407201566
15,-1.0170696002214163
16,-1.2945209105687916
17,0.13807472286038655
20,-0.15663936120803224
22,-1.8955892829185401
23,-2.065150137014245
24,0.2933725700228424
25,0.21074825623397622
27,0.05096936608457428
29,-2.179016994505924
31,-0.9725456798958936
33,-2.0477651396873147
34,-2.164600495048491
36,-0.1981333917488566
37,-0.10145862790088048
38,-0.5037001428342067
40,-1.250876687671631
41,-1.7911888762333554
42,-1.7580482294742377
43,-1.0287675541223138
44,-0.5248079007825301
45,-1.7102622071296711
47,-0.3570546315885215
48,-1.9282469693008453
49,-0.9922788413994074
50,-0.46174215729780266
51,-0.8076469322310077
52,-0.20574760295571776
53,-1.9369934911655557
54,-0.05773991889103329
55,-0.22646776352993356
56,-0.898566775861862
57,-1.4552457302610815
58,-1.930600364701729
60,-2.2086343953082195
61,-0.045039272261939545
62,-0.3781859135323218
63,-0.9079000392970985
64,-0.0465189063551518
65,-0.6221892812972496
66,-2.1824996239102816
67,-0.9586366942816821
68,-1.9947909530046024
69,0.06327365582184073
70,-1.0413464176888465
71,0.1942366452628627
72,-0.2915551979592548
74,-1.0471066791977763
75,-2.1779062456933658
76,-0.7054851786344121
77,-1.1273708002526095
78,-2.029646922587421
79,-0.8949181626678546
81,0.022098430871644318
82,-1.7869277800320058
83,0.12780013548481503
85,-0.9877824599818762
86,0.22894175863716643
87,0.08193644340693619
88,-1.6673334899984942
89,-2.131218683076344
91,-0.12123737743432281
92,-1.8717338902736447
93,-1.1134195844777257
95,-0.881424279756564
96,-1.1702342130933803
97,-1.6786600319014795
98,-1.8262723879628455
99,-1.1167536535554492
101,0.012444392052706497
103,-2.184272170567816
104,-1.7532901582855462
105,-0.9914109285555628
106,-0.24553293835787296
108,-0.45115686105831077
109,-0.9743012422401048
110,-1.8780228825029477
112,-1.73847502505577
114,-1.1714567010318568
115,-0.2163495267068801
117,-0.3309218088225463
118,-1.1441437052688774
120,-1.9581313328210455
122,-1.849610548162759
124,-0.9007077409155099
125,-0.07213482032985365
126,-0.11891808001023024
127,0.15743468752887885
128,-0.22335131964680194
129,-1.1695778560057803
130,-1.5113357462920523
131,-0.8969263086897158
133,0.053736668017614106
134,-0.8096865704664398
135,-0.1758024478392963
136,-0.3818612922278267
138,-1.9247674213806154
139,-1.5860572978807523
140,-0.7097385498638571
141,-0.7431377304571158
142,-0.03272002356194141
143,-0.10232281509943396
144,-1.008774561124941
145,-1.1969026106616094
